trial=1 source=baseline score=-50.724 train=0.0898 validation=-0.3348
trial=2 source=ollama_proposer_critic score=-35.128 train=0.3308 validation=-0.3335
trial=3 source=random_agent_error_fallback score=-39.477 train=0.148 validation=-0.3017
trial=4 source=random_agent_error_fallback score=-23.091 train=0.1466 validation=-0.1622
trial=5 source=random_agent_error_fallback score=-40.428 train=0.3032 validation=-0.3476
trial=6 source=random_agent_error_fallback score=-41.884 train=0.2707 validation=-0.2644
trial=7 source=random_agent_error_fallback score=-31.550 train=0.0642 validation=-0.2475
trial=8 source=random_agent_error_fallback score=-26.592 train=0.1501 validation=-0.236
trial=9 source=ollama_proposer_critic score=-54.938 train=0.1348 validation=-0.4474
trial=10 source=random_agent_error_fallback score=-43.683 train=0.0486 validation=-0.279
trial=11 source=ollama_proposer_critic score=-33.374 train=0.3064 validation=-0.2906
trial=12 source=random_agent_error_fallback score=-19.771 train=0.2774 validation=-0.1366
trial=13 source=ollama_proposer_critic score=-20.439 train=0.3745 validation=-0.1695
trial=14 source=ollama_proposer_critic score=-34.483 train=0.2195 validation=-0.2757
trial=15 source=ollama_proposer_critic score=-38.827 train=0.3577 validation=-0.312
trial=16 source=ollama_proposer_critic score=-24.156 train=0.0955 validation=-0.1267
trial=17 source=ollama_proposer_critic score=-36.141 train=0.2036 validation=-0.2883
trial=18 source=random_agent_error_fallback score=-29.671 train=0.1524 validation=-0.2221
trial=19 source=ollama_proposer_critic score=-44.444 train=0.0795 validation=-0.3523
trial=20 source=random_agent_error_fallback score=-18.124 train=0.3163 validation=-0.168
trial=21 source=ollama_proposer_critic score=-34.118 train=0.2149 validation=-0.2899
trial=22 source=ollama_proposer_critic score=-22.780 train=0.4009 validation=-0.1819
trial=23 source=ollama_proposer_critic score=-40.102 train=0.3217 validation=-0.3282
trial=24 source=ollama_proposer_critic score=-14.388 train=0.5122 validation=-0.175
trial=25 source=ollama_proposer_critic score=-26.429 train=0.3033 validation=-0.2749
trial=26 source=ollama_proposer_critic score=-42.760 train=0.2946 validation=-0.3642
trial=27 source=ollama_proposer_critic score=-24.191 train=0.4121 validation=-0.2279
trial=28 source=random_agent_error_fallback score=-45.820 train=0.1302 validation=-0.2681
trial=29 source=ollama_proposer_critic score=-44.618 train=0.428 validation=-0.3686
trial=30 source=ollama_proposer_critic score=-16.691 train=0.3774 validation=-0.1421
trial=31 source=ollama_proposer_critic score=-31.714 train=0.3494 validation=-0.3259
trial=32 source=ollama_proposer_critic score=-33.604 train=0.4323 validation=-0.3253
trial=33 source=ollama_proposer_critic score=-17.088 train=0.3251 validation=-0.1573
trial=34 source=random_agent_error_fallback score=-41.452 train=0.2879 validation=-0.2913
trial=35 source=ollama_proposer_critic score=-30.572 train=0.4187 validation=-0.2879
trial=36 source=ollama_proposer_critic score=-26.090 train=0.3818 validation=-0.2228
trial=37 source=ollama_proposer_critic score=-30.217 train=0.3416 validation=-0.2942
trial=38 source=random_agent_error_fallback score=-36.626 train=0.0711 validation=-0.239
trial=39 source=random_agent_error_fallback score=-37.801 train=0.0808 validation=-0.2381
trial=40 source=random_agent_error_fallback score=-33.753 train=0.1854 validation=-0.2226
trial=41 source=random_agent_error_fallback score=-30.644 train=0.2022 validation=-0.2586
trial=42 source=random_agent_error_fallback score=-34.295 train=0.2376 validation=-0.2764
trial=43 source=random_agent_error_fallback score=-40.910 train=0.2022 validation=-0.3127
trial=44 source=random_agent_error_fallback score=-40.857 train=0.0945 validation=-0.2834
trial=45 source=random_agent_error_fallback score=-59.299 train=0.0549 validation=-0.3321
trial=46 source=ollama_proposer_critic score=-30.364 train=0.1899 validation=-0.2822
trial=47 source=random_agent_error_fallback score=-37.265 train=0.1147 validation=-0.2697
trial=48 source=ollama_proposer_critic score=-65.513 train=0.3002 validation=-0.6204
trial=49 source=ollama_proposer_critic score=-34.169 train=0.373 validation=-0.3457
trial=50 source=ollama_proposer_critic score=-29.044 train=0.334 validation=-0.3024
trial=51 source=ollama_proposer_critic score=-41.934 train=0.271 validation=-0.3723
trial=52 source=random_agent_error_fallback score=-27.405 train=0.2016 validation=-0.2267
trial=53 source=ollama_proposer_critic score=-34.499 train=0.3921 validation=-0.3187
trial=54 source=ollama_proposer_critic score=-13.132 train=0.3506 validation=-0.1258
trial=55 source=ollama_proposer_critic score=-31.388 train=0.4394 validation=-0.292
trial=56 source=ollama_proposer_critic score=-47.076 train=0.2905 validation=-0.4068
trial=57 source=random_agent_error_fallback score=-31.578 train=0.2502 validation=-0.2434
trial=58 source=random_agent_error_fallback score=-43.692 train=0.2251 validation=-0.3495
trial=59 source=random_agent_error_fallback score=-30.277 train=0.1022 validation=-0.1832
trial=60 source=random_agent_error_fallback score=-18.846 train=0.4339 validation=-0.176
completed run=C:\trade3\research\overnight\runs\20260612-000147
